Tamanio,Mejor Caso,Peor Caso,Caso Promedio
0,0.0000002000,0.0000001000,0.0000000000
1,0.0000000000,0.0000001000,0.0000001000
2,0.0000009000,0.0000027000,0.0000004000
3,0.0000009000,0.0000008000,0.0000007000
4,0.0000013000,0.0000011000,0.0000009000
5,0.0000015000,0.0000013000,0.0000018000
6,0.0000205000,0.0000027000,0.0000026000
7,0.0000031000,0.0000030000,0.0000030000
8,0.0000033000,0.0000033000,0.0000035000
9,0.0000043000,0.0000039000,0.0000033000
10,0.0000042000,0.0000037000,0.0000044000
11,0.0000057000,0.0000042000,0.0000040000
12,0.0000045000,0.0000046000,0.0000046000
13,0.0000045000,0.0000040000,0.0000047000
14,0.0000050000,0.0000118000,0.0000055000
15,0.0000069000,0.0000064000,0.0000066000
16,0.0000062000,0.0000064000,0.0000062000
17,0.0000059000,0.0000361000,0.0000069000
18,0.0000063000,0.0000068000,0.0000074000
19,0.0000083000,0.0000076000,0.0000083000
20,0.0000081000,0.0000080000,0.0000077000
21,0.0000171000,0.0000047000,0.0000056000
22,0.0000088000,0.0000072000,0.0000071000
23,0.0000080000,0.0000083000,0.0000255000
24,0.0000085000,0.0000074000,0.0000080000
25,0.0000081000,0.0000081000,0.0000088000
26,0.0000079000,0.0000081000,0.0000089000
27,0.0000078000,0.0000050000,0.0000060000
28,0.0000056000,0.0000054000,0.0000067000
29,0.0000057000,0.0000053000,0.0000061000
30,0.0000063000,0.0000069000,0.0000063000
31,0.0000066000,0.0000059000,0.0000073000
32,0.0000066000,0.0000065000,0.0000075000
33,0.0000078000,0.0000069000,0.0000075000
34,0.0000083000,0.0000073000,0.0000073000
35,0.0000069000,0.0000071000,0.0000073000
36,0.0000069000,0.0000069000,0.0000081000
37,0.0000074000,0.0000152000,0.0000096000
38,0.0000084000,0.0000087000,0.0000115000
39,0.0000119000,0.0000123000,0.0000157000
40,0.0000155000,0.0000159000,0.0000392000
41,0.0000163000,0.0000142000,0.0000141000
42,0.0000092000,0.0000096000,0.0000102000
43,0.0000094000,0.0000101000,0.0000094000
44,0.0000088000,0.0000096000,0.0000106000
45,0.0000108000,0.0000097000,0.0000119000
46,0.0000102000,0.0000089000,0.0000102000
47,0.0000102000,0.0000093000,0.0000106000
